Date: 1/15/2022,,,,,
Time: 19:38:07,,,,,
Voltage: 3.84,,,,,
Starting altitude: 506.47,,,,,
Data points to collect: 400,,,,,
Pressure (mbar),Temperature (°c),Altitude (m),V Speed (m/s),Accel on xyz (m/s^2),Elapsed Seconds
963.14,14.68,513.81,10471.5,-8.28 6.63 -2.98,0.05
963.04,14.8,514.83,1.12,-7.85 7.53 -4.71,0.22
962.95,14.82,515.45,-0.06,-9.41 6.39 -2.59,0.39
962.84,14.84,516.21,-0.56,-7.45 6.90 -5.33,0.56
962.78,14.84,517.06,-0.5,-7.45 6.55 -2.55,0.73
962.68,14.85,517.95,-0.75,-7.22 6.83 -2.59,0.89
962.62,14.86,518.6,-0.56,-7.30 6.39 -1.84,1.06
962.53,14.86,518.98,0.74,-8.67 6.08 -2.16,1.24
962.42,14.86,519.78,-1.77,-8.12 6.94 -5.81,1.4
962.33,14.86,520.8,1.26,-7.73 7.14 -4.98,1.57
962.24,14.87,521.79,0.69,-7.18 8.12 -5.57,1.74
962.17,14.88,522.46,1.31,-7.69 6.63 -1.33,1.91
962.04,14.88,523.49,0.44,-3.65 8.63 -7.77,2.08
961.97,14.89,523.87,-1.06,-4.51 5.96 1.69,2.25
961.87,14.9,524.89,-1.26,-8.90 5.88 -2.94,2.42
961.78,14.91,525.56,2.5,-5.22 8.59 -9.10,2.58
961.74,14.93,526.29,1.81,-9.69 5.02 1.29,2.75
961.63,14.93,526.88,1.71,-6.67 6.86 -3.18,2.93
961.54,14.95,527.51,2.78,-8.75 8.94 -8.71,3.09
961.47,14.96,528.15,-0.06,-7.14 4.79 4.08,3.26
961.41,14.97,529,-0.32,-7.37 4.86 4.67,3.43
961.29,14.98,529.55,1.27,-6.12 7.30 -6.39,3.59
961.26,14.99,530.27,-0.32,-9.69 4.79 2.47,3.76
961.19,14.99,530.99,0,-4.67 7.37 -4.79,3.93
961.06,15.01,531.72,3.33,-4.63 8.43 -9.30,4.1
Armed parachute. Current alt: 532.097,,,,,
961,15.03,532.73,1.7,-6.67 6.71 -2.20,4.31
960.87,15.04,533.45,0.22,-7.57 6.04 -3.80,4.5
960.76,15.05,533.92,2.36,-11.81 2.98 8.20,4.7
960.68,15.07,534.93,1.76,-7.02 8.24 -11.85,4.89
960.61,15.09,535.6,-0.49,-10.55 4.31 6.90,5.09
960.47,15.1,536.58,1.77,-8.28 7.37 -7.96,5.28
960.41,15.12,537.46,1.78,-8.71 4.71 2.47,5.47
960.34,15.15,538.28,0.88,-9.61 8.59 -8.12,5.66
960.24,15.17,539.29,3.32,-6.32 6.98 -3.53,5.85
960.17,15.21,539.83,-2.05,-5.45 5.45 -0.67,6.04
960.02,15.24,540.54,-0.44,-6.35 10.55 -13.18,6.24
959.97,15.26,541.48,2.43,-8.39 2.86 11.65,6.43
959.85,15.3,542.24,1.04,-3.69 9.85 -12.00,6.62
959.74,15.33,542.9,2.43,-10.16 0.39 19.53,6.81
959.7,15.36,543.54,2.19,-3.73 11.69 -20.08,7
959.64,15.39,544.16,-2.74,-8.63 7.49 -8.12,7.19
959.56,15.41,545.1,-1.08,-10.94 4.63 6.39,7.39
959.42,15.44,546.2,-0.71,-5.26 6.28 1.88,7.58
959.27,15.46,547,0.39,-5.45 7.73 -11.73,7.77
959.22,15.49,547.86,2.65,-9.41 8.94 -12.04,7.97
959.12,15.51,548.66,-0.05,-10.04 6.24 0.43,8.16
959.04,15.54,549.24,2.04,-4.08 6.20 5.37,8.35
958.89,15.56,550.39,0.17,-8.55 2.82 8.08,8.54
958.88,15.6,551.11,-0.27,-4.43 12.98 -20.08,8.74
958.78,15.62,551.96,-0.27,-4.08 10.08 -11.22,8.93
958.69,15.64,552.51,1.59,-7.02 9.10 -15.02,9.12
958.59,15.67,553.35,0.88,-9.26 8.94 -5.92,9.31
958.52,15.7,554.11,-0.44,-3.80 9.18 -3.26,9.51
958.39,15.73,554.53,-0.05,-7.49 4.67 8.51,9.7
958.33,15.76,555.43,-0.44,-9.41 0.94 19.46,9.89
958.24,15.78,556.28,1.54,-4.28 7.57 -1.61,10.08
958.18,15.81,557.09,3.84,-8.39 6.32 4.55,10.27
958.08,15.83,557.81,0,-4.00 4.94 4.59,10.46
958.02,15.86,558.57,2.2,-9.89 3.02 12.28,10.66
957.85,15.88,559.33,2.21,-9.18 4.00 7.92,10.85
957.78,15.91,560.01,1.82,-4.43 2.35 -0.71,11.04
957.73,15.93,560.74,0.44,-2.55 2.24 -2.20,11.23
957.68,15.93,560.78,-0.88,-4.63 2.90 5.06,11.43
957.68,15.94,560.68,1.69,-3.80 4.16 -1.57,11.62
957.7,15.95,560.77,-2.44,-3.88 2.16 3.41,11.81
957.74,15.98,560.32,0,-4.24 3.73 -2.98,12
957.74,16,560.55,-0.39,-5.73 5.45 -4.12,12.2
957.8,16.01,560.15,-1.56,-6.12 6.00 -2.12,12.39
957.84,16.02,559.42,-2.27,-4.59 8.51 -13.02,12.58
957.89,16.03,558.81,-0.43,-6.59 6.59 -3.88,12.77
957.93,16.05,558.56,-0.72,-6.32 6.24 -3.22,12.96
958,16.07,558.07,0.49,-8.28 5.53 -1.33,13.16
958.09,16.09,557.39,-2.48,-8.00 4.43 3.65,13.35
958.13,16.1,556.61,-0.22,-7.69 4.75 3.30,13.54
958.19,16.12,556.34,-0.93,-6.24 7.18 -3.53,13.74
958.28,16.14,555.77,-0.22,-7.92 6.86 -3.84,13.93
958.34,16.15,555.26,0.88,-9.10 4.71 7.14,14.12
958.42,16.17,554.39,-1.61,-7.02 7.73 -5.92,14.31
958.47,16.17,554.09,-0.67,-8.43 4.12 4.90,14.5
958.53,16.19,553.31,0,-6.90 7.53 -3.77,14.69
958.58,16.2,552.79,1.1,-8.04 6.47 2.43,14.89
958.65,16.22,552.1,0.61,-5.61 6.63 -0.04,15.08
958.75,16.22,551.46,-1.6,-6.55 6.35 -2.43,15.27
958.82,16.24,550.89,0.39,-6.63 6.63 0.55,15.46
958.86,16.25,550.33,-0.05,-8.12 5.96 -1.65,15.65
958.95,16.26,550.03,-0.72,-6.63 7.02 -3.22,15.85
959.01,16.27,549.09,-0.06,-7.65 7.73 -9.53,16.04
959.07,16.29,548.69,-0.92,-6.98 6.83 -3.69,16.24
959.14,16.3,548.18,0,-7.96 7.85 -8.83,16.43
959.19,16.32,547.78,-0.88,-6.94 5.81 -1.57,16.62
959.26,16.32,547.22,-1.31,-6.59 5.61 -0.39,16.81
959.33,16.34,546.61,1.98,-9.06 6.43 -3.69,17
959.35,16.35,546.19,-3.19,-6.04 6.83 -5.41,17.19
959.42,16.36,545.84,-0.05,-9.14 4.94 3.61,17.39
959.5,16.38,545.32,0.44,-7.10 7.77 -4.86,17.58
959.53,16.39,544.72,-0.94,-6.16 7.65 -3.26,17.77
959.59,16.4,543.94,-0.44,-6.90 5.96 -0.20,17.96
959.67,16.41,543.47,-0.22,-5.61 8.59 -7.65,18.16
959.71,16.43,543.03,-1.53,-6.83 7.45 -8.94,18.35
959.81,16.44,542.51,-1.33,-9.06 5.57 1.10,18.54
959.85,16.46,542.16,-1.07,-5.88 8.51 -12.43,18.74
959.9,16.47,541.52,1.13,-7.85 6.24 -2.20,18.95
959.97,16.48,540.65,0.74,-8.43 8.71 -5.69,19.17
960.06,16.49,540.35,-2.05,-7.41 7.34 -6.39,19.38
960.09,16.5,539.79,0.34,-7.88 5.77 0.00,19.6
960.15,16.51,538.84,-0.83,-7.30 6.08 -3.10,19.82
960.21,16.52,538.58,-1.17,-9.14 4.82 2.04,20.03
960.26,16.52,538.23,-1.17,-7.34 6.79 -2.55,20.25
960.36,16.53,537.59,-1.22,-7.65 6.16 -1.29,20.46
960.42,16.54,537.25,1.12,-7.34 6.32 -1.92,20.68
960.45,16.54,536.57,-2.4,-6.94 6.90 -1.18,20.9
960.55,16.55,536.23,0.43,-8.43 6.43 -3.73,21.12
960.58,16.56,535.61,0.58,-6.59 6.00 0.43,21.34
960.66,16.57,535.1,-1.03,-4.59 7.10 -1.10,21.55
960.7,16.57,534.28,-1.61,-7.10 6.59 -2.24,21.77
960.75,16.58,534.03,1.56,-8.55 5.81 0.63,21.99
960.83,16.58,533.77,0.54,-9.65 6.35 -0.90,22.2
960.95,16.58,533.29,-3.19,-7.53 5.57 -0.39,22.42
960.93,16.58,532.87,-0.49,-6.86 5.18 -0.51,22.64
961.01,16.59,531.88,0.34,-8.32 3.92 1.49,22.85
961.07,16.6,531.45,-0.39,-8.12 5.14 1.77,23.07
961.13,16.59,530.98,0.75,-7.18 8.71 -6.32,23.29
961.15,16.61,530.24,1.82,-8.55 7.57 -8.39,23.51
961.19,16.61,530.04,-0.05,-7.96 8.39 -10.59,23.72
Deployed parachute. Current alt: 522.389,,,,,
962.11,16.44,522.03,0.05,-7.22 7.41 -10.36,26.96
962.92,16.27,515.62,0.17,-7.14 5.77 -4.35,30.18
963.32,16.13,512.26,0.07,-9.02 6.12 -3.53,33.39
Stopped logging; low altitude met. (509.892m),,,,,
