Date: 1/15/2022,,,,,
Time: 19:08:53,,,,,
Voltage: 3.89,,,,,
Starting altitude: 507.758,,,,,
Data points to collect: 400,,,,,
Pressure (mbar),Temperature (°c),Altitude (m),V Speed (m/s),Accel on xyz (m/s^2),Elapsed Seconds
963.75,15.49,508.27,11537.18,3.06 -5.96 17.81,0.04
963.75,15.6,508.38,1.95,3.18 -2.75 10.90,0.21
963.68,15.64,508.88,0.25,1.45 -2.71 11.10,0.38
963.62,15.66,509.73,2.28,3.88 -3.06 9.73,0.55
963.56,15.66,510.28,-0.81,3.18 -2.00 8.16,0.72
963.48,15.67,511.17,0.75,3.18 -2.98 9.57,0.88
963.39,15.67,511.76,1.56,4.55 -3.49 9.30,1.05
963.3,15.67,512.36,0,2.82 -3.14 9.65,1.23
963.2,15.68,513.12,1.69,3.18 -3.10 8.20,1.39
963.13,15.69,514.16,3.48,3.88 -2.63 5.61,1.57
963.04,15.69,514.5,0.25,2.59 -2.43 10.20,1.74
962.94,15.69,515.52,1.97,2.04 -2.51 8.20,1.91
962.86,15.68,516.11,0.82,3.30 -3.06 8.55,2.07
962.77,15.69,516.8,2.52,2.71 -4.47 11.18,2.24
962.7,15.69,517.48,-0.51,2.08 -2.94 8.32,2.41
962.66,15.69,518.29,2.83,2.63 -2.98 9.77,2.58
962.52,15.69,519.28,1.5,3.57 -3.30 9.53,2.75
962.43,15.69,520.04,-0.06,2.63 -2.75 9.49,2.91
962.35,15.69,520.69,0.74,3.92 -2.12 6.47,3.09
962.28,15.69,521.29,2.75,3.14 -3.65 10.24,3.25
962.19,15.69,522.05,0.75,4.12 -2.08 8.51,3.42
962.11,15.69,522.95,-1.56,2.51 -3.26 13.89,3.59
962.02,15.69,524.11,0.5,3.41 -1.65 7.88,3.76
961.97,15.7,524.24,0.45,2.47 -2.39 7.26,3.93
961.84,15.7,525.35,0.19,3.65 -2.35 7.30,4.09
961.74,15.7,525.47,0.25,4.24 -1.77 6.28,4.26
961.65,15.7,526.2,0,4.67 -2.12 7.65,4.43
961.62,15.7,526.67,-0.82,3.69 -2.24 8.43,4.59
961.55,15.7,527.44,0.98,4.28 -3.18 9.89,4.77
961.43,15.71,528.59,1.77,3.73 -3.53 6.55,4.93
961.34,15.71,529.49,1.26,2.79 -2.31 8.20,5.1
961.26,15.71,530.05,0.49,3.06 -2.55 10.08,5.27
961.18,15.73,530.67,0.75,5.37 -1.14 8.67,5.44
961.15,15.72,531.58,-1.57,4.31 -2.98 8.36,5.61
961.02,15.73,532.13,1.97,2.51 -3.33 10.87,5.78
960.94,15.73,532.91,0,5.22 -2.94 12.12,5.95
960.9,15.74,533.25,-1.27,5.77 -2.71 10.43,6.12
960.84,15.74,533.84,0.19,4.39 -0.51 -5.26,6.28
960.76,15.75,535.03,-0.51,6.94 -1.84 4.08,6.45
960.64,15.75,535.12,-0.25,6.59 -2.20 6.12,6.62
960.55,15.76,536.14,0.25,3.49 -2.43 6.16,6.79
960.47,15.75,536.53,2.96,4.16 -3.14 12.55,6.96
960.43,15.77,536.75,-2.08,4.35 -1.26 5.22,7.13
960.35,15.77,537.98,0.94,8.32 -1.06 -1.49,7.29
960.28,15.78,538.45,2.75,5.73 -1.77 5.14,7.46
960.19,15.79,539.51,-0.5,3.84 -1.18 4.04,7.63
960.1,15.8,540.45,2.85,4.20 -2.55 4.08,7.8
960.02,15.81,540.84,1.02,6.59 -2.20 0.94,7.96
959.93,15.81,541.62,-2.85,5.92 -2.04 2.47,8.13
959.85,15.82,542.33,0.5,6.20 -0.16 2.47,8.3
959.76,15.83,542.71,2.01,8.55 -2.08 5.37,8.47
959.7,15.84,543.57,1.01,5.10 -3.80 2.59,8.64
959.57,15.85,544.37,0,4.55 -0.67 3.02,8.8
959.5,15.87,544.81,0.69,2.82 -1.22 8.90,8.97
959.47,15.88,545.52,1.01,6.24 -4.59 6.75,9.14
959.36,15.88,546.42,-1.75,2.51 -2.31 10.20,9.31
959.3,15.9,547.1,0,4.59 -3.73 11.10,9.48
959.2,15.91,547.65,1.17,1.45 -6.83 18.20,9.65
959.14,15.92,548.39,0,5.30 -3.49 2.94,9.82
959.1,15.94,549.06,-0.32,5.53 -2.16 4.82,9.98
958.99,15.94,549.61,0.74,4.59 -1.57 5.30,10.15
