Altitude (m), Accel on xyz (m/s^2), Gyro on xyz (deg/s), Time (s), Events
Software version: CALC v2.0-beta.5,,,,,
Date: 05-03-2022,,,,,
Time: 23:00,,,,,
Temperature: 28.48,,,,,
Starting altitude: 482.17,,,,,
Current Barometer pressure: 950.72,,,,,
Current weather API pressure: 1007,,,,,
Pressure oversampling: 2,,,,,
,,,,,,
Altitude (m), Accel on xyz (m/s^2), Gyro on xyz (deg/s), Time (s), Events
Liftoff detected,,
481.83,0.01 0.05 0.02, 0.00,
482.51,0.01 0.05 0.03, 0.05,
482.10,0.00 0.05 0.02, 0.06,
482.15,0.01 0.05 0.02, 0.08,
482.74,-0.00 0.05 0.02, 0.09,
482.15,-0.00 0.05 0.03, 0.10,
482.28,0.00 0.06 0.02, 0.11,
482.14,0.00 0.04 0.02, 0.13,
481.78,0.01 0.04 0.02, 0.14,
482.83,0.01 0.05 0.03, 0.15,
482.29,0.00 0.05 0.02, 0.16,
482.36,0.01 0.04 0.02, 0.17,
482.28,0.01 0.05 0.01, 0.19,
482.48,-0.00 0.05 0.02, 0.20,
482.39,0.01 0.04 0.01, 0.21,
482.35,0.00 0.05 0.02, 0.22,
482.47,-0.00 0.05 0.02, 0.24,
482.51,-0.00 0.05 0.02, 0.25,
482.13,0.00 0.05 0.02, 0.26,
482.42,0.00 0.05 0.02, 0.27,
482.34,0.01 0.05 0.03, 0.29,
482.40,0.01 0.05 0.02, 0.30,
482.49,0.00 0.05 0.02, 0.31,
482.16,0.01 0.05 0.02, 0.32,
482.10,0.00 0.05 0.02, 0.34,
482.42,0.00 0.06 0.02, 0.35,
481.91,-0.00 0.05 0.02, 0.36,
482.21,0.00 0.04 0.01, 0.37,
482.52,-0.00 0.05 0.02, 0.39,
482.22,-0.00 0.05 0.02, 0.40,
482.32,-0.00 0.04 0.01, 0.41,
482.23,0.01 0.05 0.02, 0.42,
482.02,0.00 0.05 0.01, 0.44,
482.53,0.01 0.05 0.02, 0.45,
482.28,0.00 0.05 0.01, 0.46,
482.34,0.00 0.05 0.01, 0.47,
482.43,0.01 0.05 0.02, 0.49,
482.34,0.00 0.06 0.02, 0.50,
482.33,0.00 0.05 0.02, 0.51,
482.48,0.00 0.05 0.02, 0.52,
482.30,-0.00 0.05 0.01, 0.54,
482.53,0.01 0.05 0.01, 0.55,
482.69,0.01 0.04 0.01, 0.56,
482.24,0.00 0.04 0.02, 0.57,
482.34,-0.00 0.05 0.02, 0.58,
482.15,0.00 0.05 0.02, 0.60,
482.80,0.01 0.05 0.02, 0.61,
482.26,0.00 0.05 0.02, 0.62,
482.40,-0.01 0.04 0.01, 0.63,
481.85,0.00 0.05 0.02, 0.65,
482.20,-0.00 0.05 0.02, 0.66,
482.06,-0.01 0.06 0.02, 0.67,
482.19,-0.00 0.05 0.01, 0.68,
482.19,-0.00 0.05 0.02, 0.70,
482.11,0.00 0.04 0.02, 0.71,
481.86,0.00 0.05 0.02, 0.72,
482.75,0.00 0.05 0.02, 0.73,
482.19,0.00 0.06 0.02, 0.75,
482.01,0.01 0.06 0.03, 0.76,
482.01,0.00 0.05 0.02, 0.77,
482.30,0.00 0.04 0.02, 0.78,
482.16,0.00 0.05 0.03, 0.79,
482.91,0.00 0.05 0.02, 0.81,
482.17,0.00 0.05 0.02, 0.82,
482.30,0.00 0.05 0.02, 0.83,
482.41,0.00 0.05 0.02, 0.84,
482.12,-0.00 0.05 0.02, 0.86,
482.28,0.01 0.05 0.02, 0.87,
482.28,0.00 0.05 0.02, 0.88,
482.47,0.01 0.05 0.02, 0.89,
481.88,0.00 0.04 0.02, 0.91,
482.28,0.00 0.05 0.02, 0.92,
482.27,-0.01 0.05 0.02, 0.93,
482.33,0.01 0.05 0.02, 0.94,
482.57,0.01 0.04 0.02, 0.96,
482.18,0.00 0.04 0.02, 0.97,
482.39,0.00 0.05 0.02, 0.98,
482.38,-0.00 0.05 0.02, 0.99,
482.41,0.00 0.04 0.02, 1.00,
482.84,0.01 0.04 0.03, 1.02,
482.23,0.00 0.05 0.02, 1.03,
482.54,-0.07 0.07 0.01, 1.04,
482.23,0.01 0.05 0.01, 1.05,
482.73,0.00 0.04 0.03, 1.07,
482.08,-0.01 0.05 0.02, 1.08,
481.94,-0.01 0.05 0.02, 1.09,
482.59,-0.00 0.05 0.01, 1.10,
482.14,0.00 0.05 0.02, 1.12,
482.44,-0.00 0.05 0.02, 1.13,
482.34,0.00 0.05 0.02, 1.14,
482.27,-0.00 0.05 0.01, 1.16,
482.38,0.01 0.05 0.02, 1.17,
482.11,0.00 0.04 0.02, 1.19,
482.29,0.00 0.04 0.02, 1.20,
482.38,0.00 0.05 0.01, 1.21,
482.32,0.01 0.05 0.02, 1.22,
482.19,0.00 0.05 0.02, 1.23,
482.49,0.00 0.04 0.02, 1.25,
482.14,0.00 0.05 0.02, 1.26,
482.30,0.01 0.06 0.02, 1.27,
482.44,0.01 0.05 0.02, 1.28,
482.09,0.01 0.05 0.01, 1.30,Stopped logging low alt met,
